0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:27:09 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:27:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:27:09 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:27:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:27:09 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:27:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:27:09 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:27:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:27:09 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:27:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:27:09 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:27:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:27:15 +0900] "POST /client/html/ex18.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:29:37 +0900] "POST /client/html/ex18.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:29:51 +0900] "POST /client/html/ex18.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:30:06 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:30:09 +0900] "GET /client/html/ex18.jsp?data=12345 HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:34:31 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:35:25 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 1503
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:36:56 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:36:59 +0900] "GET /client/html/ex18.jsp?data=aaa HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:37:11 +0900] "GET /client/html/ex18.jsp?data=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:37:33 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:37:40 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:37:40 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:37:47 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:43:36 +0900] "GET /client/html/ex19_form.html HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:45:04 +0900] "GET /client/html/ex19_form.html HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:45:05 +0900] "GET /client/html/ex19_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:47:21 +0900] "GET /client/html/ex19_form.html HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:47:27 +0900] "GET /client/html/ex19_form.html HTTP/1.1" 200 560
